Commune,Population,Taux global de taxe foncière sur les propriétés bâties (TFB),Taux global de taxe foncière sur les propriétés non bâties (TFNB),Taux de cotisation foncière des entreprises (CFE),SECTEUR_CFE_Base,TARIF_M2,BASE,CFE,TFB,ZRC,Taux d'exonération,Total d'impôts à payer,libelle
REPARSAC,606,"36,94","86,91",0,2,"73,7",3685,"0,00","680,62",0,0,"680,62",74.20Z Activités photographiques
RIOUX MARTIN,228,"39,21","86,39",0,2,"73,7",3685,"0,00","648,03",1,"10,3","648,03",74.20Z Activités photographiques
RIVIERES,2027,"43,43","108,24",0,1,"26,9",1345,"0,00","292,07",0,0,"292,07",74.20Z Activités photographiques
RONSENAC,577,"42,54","87,17",0,1,"26,9",1345,"0,00","286,08",0,0,"286,08",74.20Z Activités photographiques
ROUFFIAC,121,"39,96","79,3",0,1,"26,9",1345,"0,00","268,73",0,0,"268,73",74.20Z Activités photographiques
ROUGNAC,411,"49,29","115,31",0,1,"26,9",1345,"0,00","297,33",1,"10,3","297,33",74.20Z Activités photographiques
ROUILLAC,3013,"46,15","102,56",0,1,"26,9",1345,"0,00","278,39",1,"10,3","278,39",74.20Z Activités photographiques
ROULLET ST ESTEPHE,4346,"43,4","99,77",0,2,"73,7",3685,"0,00","799,65",0,0,"799,65",74.20Z Activités photographiques
ROUSSINES,296,"42,64","158,11",0,3,"97,8",4890,"0,00","1042,55",0,0,"1042,55",74.20Z Activités photographiques
ROUZEDE,246,"37,45","115,16",0,2,"73,7",3685,"0,00","690,02",0,0,"690,02",74.20Z Activités photographiques
RUELLE-SUR-TOUVRE,7505,"48,42","109,83",0,1,"26,9",1345,"0,00","325,62",0,0,"325,62",74.20Z Activités photographiques
RUFFEC,3522,"61,9","95,5",0,1,"26,9",1345,"0,00","373,40",1,"10,3","373,40",74.20Z Activités photographiques
SAINT ADJUTORY,499,"45,82","134,85",0,3,"97,8",4890,"0,00","1120,30",0,0,"1120,30",74.20Z Activités photographiques
SAINT AMANT DE BOIXE,1357,"48,58","110,78",0,2,"73,7",3685,"0,00","895,09",0,0,"895,09",74.20Z Activités photographiques
SAINT CLAUD SUR LE SON,1077,"46,79","120,49",0,1,"26,9",1345,"0,00","282,25",1,"10,3","282,25",74.20Z Activités photographiques
SAINT GENIS D'HIERSAC,913,"46,4","103,34",0,2,"73,7",3685,"0,00","766,86",1,"10,3","766,86",74.20Z Activités photographiques
SAINT ROMAIN,520,"48,23","89,93",0,1,"26,9",1345,"0,00","290,94",1,"10,3","290,94",74.20Z Activités photographiques
SAINT SEVERIN,806,"46,66","85,1",0,1,"26,9",1345,"0,00","313,79",0,0,"313,79",74.20Z Activités photographiques
SAINT SORNIN,803,"36,93","105,67",0,1,"26,9",1345,"0,00","222,77",1,"10,3","222,77",74.20Z Activités photographiques
SAINT YRIEIX CHARENTE,7627,"54,23","92,75",0,1,"26,9",1345,"0,00","327,13",1,"10,3","327,13",74.20Z Activités photographiques
SAINT-AMANT-DE-NOUERE,378,"40,24","97,28",0,1,"26,9",1345,"0,00","270,61",0,0,"270,61",74.20Z Activités photographiques
SAINT-AULAIS-LA-CHAPELLE,232,"40,14","102,12",0,2,"73,7",3685,"0,00","663,40",1,"10,3","663,40",74.20Z Activités photographiques
SAINT-AVIT,218,"39,74","70,46",0,1,"26,9",1345,"0,00","239,72",1,"10,3","239,72",74.20Z Activités photographiques
SAINT-BONNET,418,"36,6","81,2",0,1,"26,9",1345,"0,00","220,78",1,"10,3","220,78",74.20Z Activités photographiques
SAINT-BRICE,998,"45,56","99,55",0,2,"73,7",3685,"0,00","839,44",0,0,"839,44",74.20Z Activités photographiques
SAINT-CHRISTOPHE,325,"45,79","154,06",0,1,"26,9",1345,"0,00","307,94",0,0,"307,94",74.20Z Activités photographiques
SAINT-COUTANT,218,"37,96","104,37",0,1,"26,9",1345,"0,00","228,99",1,"10,3","228,99",74.20Z Activités photographiques
SAINT-CYBARDEAUX,836,"44,86","96,86",0,1,"26,9",1345,"0,00","301,68",0,0,"301,68",74.20Z Activités photographiques
SAINT-FELIX,108,"42,11","96,49",0,1,"26,9",1345,"0,00","254,02",1,"10,3","254,02",74.20Z Activités photographiques
SAINT-FORT-SUR-LE-NE,391,"44,2","105,27",0,1,"26,9",1345,"0,00","297,25",0,0,"297,25",74.20Z Activités photographiques
SAINT-FRAIGNE,444,"46,58","111,68",0,1,"26,9",1345,"0,00","280,99",1,"10,3","280,99",74.20Z Activités photographiques
SAINT-FRONT,368,"48,34","121,96",0,1,"26,9",1345,"0,00","291,60",1,"10,3","291,60",74.20Z Activités photographiques
SAINT-GEORGES,46,"50,43","97,42",0,1,"26,9",1345,"0,00","339,14",0,0,"339,14",74.20Z Activités photographiques
SAINT-GOURSON,135,"48,71","106,41",0,1,"26,9",1345,"0,00","327,57",0,0,"327,57",74.20Z Activités photographiques
SAINT-GROUX,135,"38,62","93,78",0,1,"26,9",1345,"0,00","232,97",1,"10,3","232,97",74.20Z Activités photographiques
SAINT-LAURENT-DE-CERIS,797,"50,96","123,56",0,2,"73,7",3685,"0,00","842,23",1,"10,3","842,23",74.20Z Activités photographiques
SAINT-LAURENT-DE-COGNAC,854,"41,91","84,88",0,2,"73,7",3685,"0,00","692,66",1,"10,3","692,66",74.20Z Activités photographiques
SAINT-MARTIAL,129,"40,5","86,89",0,2,"73,7",3685,"0,00","669,35",1,"10,3","669,35",74.20Z Activités photographiques
SAINT-MARY,346,"51,2","134,83",0,1,"26,9",1345,"0,00","308,86",1,"10,3","308,86",74.20Z Activités photographiques
SAINT-MICHEL,3257,"53,81","91,56",0,1,"26,9",1345,"0,00","324,60",1,"10,3","324,60",74.20Z Activités photographiques
SAINT-PALAIS-DU-NE,306,"43,72","90,52",0,1,"26,9",1345,"0,00","294,02",0,0,"294,02",74.20Z Activités photographiques
SAINT-PREUIL,305,"39,8","95,72",0,1,"26,9",1345,"0,00","267,66",0,0,"267,66",74.20Z Activités photographiques
SAINT-SATURNIN,1328,"51,84","100,18",0,2,"73,7",3685,"0,00","955,15",0,0,"955,15",74.20Z Activités photographiques
SAINT-SIMON,224,"41,68","90,84",0,1,"26,9",1345,"0,00","280,30",0,0,"280,30",74.20Z Activités photographiques
SAINT-SULPICE-DE-COGNAC,1208,"41,93","101,04",0,2,"73,7",3685,"0,00","772,56",0,0,"772,56",74.20Z Activités photographiques
SAINT-VALLIER,138,"43,78","95,24",0,3,"97,8",4890,"0,00","960,17",1,"10,3","960,17",74.20Z Activités photographiques
SAINTE-SEVERE,524,"46,05","95,65",0,1,"26,9",1345,"0,00","277,79",1,"10,3","277,79",74.20Z Activités photographiques
SAINTE-SOULINE,124,"40,53","91,01",0,1,"26,9",1345,"0,00","272,56",0,0,"272,56",74.20Z Activités photographiques
SALLES-D'ANGLES,1038,"40,11","97,45",0,1,"26,9",1345,"0,00","269,74",0,0,"269,74",74.20Z Activités photographiques
SALLES-DE-BARBEZIEUX,488,"37,53",89,0,1,"26,9",1345,"0,00","252,39",0,0,"252,39",74.20Z Activités photographiques
SALLES-DE-VILLEFAGNAN,319,"54,08","111,48",0,1,"26,9",1345,"0,00","363,69",0,0,"363,69",74.20Z Activités photographiques
SALLES-LAVALETTE,338,"49,38","96,39",0,2,"73,7",3685,"0,00","816,11",1,"10,3","816,11",74.20Z Activités photographiques
SAULGOND,534,"44,82","126,49",0,1,"26,9",1345,"0,00","301,41",0,0,"301,41",74.20Z Activités photographiques
SAUVAGNAC,66,"39,88","117,33",0,1,"26,9",1345,"0,00","240,57",1,"10,3","240,57",74.20Z Activités photographiques
SAUVIGNAC,106,"38,74","98,88",0,1,"26,9",1345,"0,00","260,53",0,0,"260,53",74.20Z Activités photographiques
SEGONZAC,2151,"46,01","102,82",0,2,"73,7",3685,"0,00","760,42",1,"10,3","760,42",74.20Z Activités photographiques
SERS,909,"49,8","133,66",0,1,"26,9",1345,"0,00","300,41",1,"10,3","300,41",74.20Z Activités photographiques
SIGOGNE,1002,"38,52","92,76",0,1,"26,9",1345,"0,00","259,05",0,0,"259,05",74.20Z Activités photographiques
SIREUIL,1201,"51,3","87,55",0,3,"97,8",4890,"0,00","1254,29",0,0,"1254,29",74.20Z Activités photographiques
SOUFFRIGNAC,129,"31,68","80,37",0,2,"73,7",3685,"0,00","523,58",1,"10,3","523,58",74.20Z Activités photographiques
SOUVIGNE,202,"54,02","97,22",0,1,"26,9",1345,"0,00","325,87",1,"10,3","325,87",74.20Z Activités photographiques
SOYAUX,10073,53,"118,42",0,2,"73,7",3685,"0,00","875,94",1,"10,3","875,94",74.20Z Activités photographiques
ST QUENTIN DE CHALAIS,256,"42,02","82,24",0,1,"26,9",1345,"0,00","282,58",0,0,"282,58",74.20Z Activités photographiques
ST QUENTIN SUR CHARENTE,220,"42,09","112,87",0,1,"26,9",1345,"0,00","253,90",1,"10,3","253,90",74.20Z Activités photographiques
ST-CIERS-SUR-BONNIEURE,347,"45,68","111,41",0,1,"26,9",1345,"0,00","275,56",1,"10,3","275,56",74.20Z Activités photographiques
ST-GERMAIN-DE-MONTBRON,482,"40,06","86,87",0,1,"26,9",1345,"0,00","269,40",0,0,"269,40",74.20Z Activités photographiques
ST-LAURENT-DES-COMBES,92,"38,56","75,77",0,1,"26,9",1345,"0,00","259,32",0,0,"259,32",74.20Z Activités photographiques
ST-MARTIN-DU-CLOCHER,127,"52,36","104,64",0,1,"26,9",1345,"0,00","352,12",0,0,"352,12",74.20Z Activités photographiques
ST-MAURICE-DES-LIONS,925,"43,62","118,7",0,3,"97,8",4890,"0,00","1066,51",0,0,"1066,51",74.20Z Activités photographiques
ST-MEDARD-DE-BARBEZIEUX,324,"39,38","102,28",0,1,"26,9",1345,"0,00","237,55",1,"10,3","237,55",74.20Z Activités photographiques
ST-MEME-LES-CARRIERES,1060,"40,92","94,85",0,2,"73,7",3685,"0,00","676,29",1,"10,3","676,29",74.20Z Activités photographiques
ST-SULPICE- DE-RUFFEC,31,"61,64","123,83",0,2,"73,7",3685,"0,00","1135,72",0,0,"1135,72",74.20Z Activités photographiques
SUAUX,392,"48,75","145,72",0,1,"26,9",1345,"0,00","294,08",1,"10,3","294,08",74.20Z Activités photographiques
TAIZE-AIZIE,588,"54,59","98,34",0,1,"26,9",1345,"0,00","329,30",1,"10,3","329,30",74.20Z Activités photographiques
TAPONNAT-FLEURIGNAC,1513,"44,58","119,87",0,4,"103,6",5180,"0,00","1154,62",0,0,"1154,62",74.20Z Activités photographiques
TERRES-DE-HAUTE-CHARENTE,4007,"46,43","120,9",0,1,"26,9",1345,"0,00","312,24",0,0,"312,24",74.20Z Activités photographiques
THEIL-RABIER,166,"50,63","96,7",0,1,"26,9",1345,"0,00","305,42",1,"10,3","305,42",74.20Z Activités photographiques
TORSAC,752,"43,2","107,94",0,1,"26,9",1345,"0,00","260,60",1,"10,3","260,60",74.20Z Activités photographiques
TOURRIERS,768,"49,42","121,16",0,1,"26,9",1345,"0,00","332,35",0,0,"332,35",74.20Z Activités photographiques
TOUVERAC,588,"46,33","94,91",0,1,"26,9",1345,"0,00","311,57",0,0,"311,57",74.20Z Activités photographiques
TOUVRE,1191,"54,59","106,54",0,1,"26,9",1345,"0,00","367,12",0,0,"367,12",74.20Z Activités photographiques
TRIAC-LAUTRAIT,529,"42,47","92,55",0,2,"73,7",3685,"0,00","782,51",0,0,"782,51",74.20Z Activités photographiques
TROIS-PALIS,962,"57,82","107,59",0,3,"97,8",4890,"0,00","1268,09",1,"10,3","1268,09",74.20Z Activités photographiques
TURGON,89,"45,31","149,65",0,2,"73,7",3685,"0,00","834,84",0,0,"834,84",74.20Z Activités photographiques
TUSSON,229,"49,36","110,58",0,2,"73,7",3685,"0,00","815,78",1,"10,3","815,78",74.20Z Activités photographiques
VAL DES VIGNES,1424,"40,85","85,54",0,1,"26,9",1345,"0,00","274,72",0,0,"274,72",74.20Z Activités photographiques
VAL-D'AUGE,821,"41,58","102,47",0,1,"26,9",1345,"0,00","250,82",1,"10,3","250,82",74.20Z Activités photographiques
VAL-DE-BONNIEURE,1324,"50,9","113,87",0,1,"26,9",1345,"0,00","342,30",0,0,"342,30",74.20Z Activités photographiques
VALENCE,195,"47,41","117,27",0,2,"73,7",3685,"0,00","873,53",0,0,"873,53",74.20Z Activités photographiques
VARS,2201,"50,67","110,5",0,1,"26,9",1345,"0,00","305,66",1,"10,3","305,66",74.20Z Activités photographiques
VAUX LAVALETTE,85,"35,77","75,19",0,1,"26,9",1345,"0,00","215,78",1,"10,3","215,78",74.20Z Activités photographiques
VAUX-ROUILLAC,301,"48,65","105,68",0,1,"26,9",1345,"0,00","327,17",0,0,"327,17",74.20Z Activités photographiques
VENTOUSE,124,"45,43","112,28",0,1,"26,9",1345,"0,00","274,05",1,"10,3","274,05",74.20Z Activités photographiques
VERDILLE,381,"46,52","100,53",0,1,"26,9",1345,"0,00","280,62",1,"10,3","280,62",74.20Z Activités photographiques
VERNEUIL,104,"41,29","116,12",0,1,"26,9",1345,"0,00","277,68",0,0,"277,68",74.20Z Activités photographiques
VERRIERES,355,"40,92","104,88",0,2,"73,7",3685,"0,00","753,95",0,0,"753,95",74.20Z Activités photographiques
VERTEUIL SUR CHARENTE,631,"54,81","110,89",0,1,"26,9",1345,"0,00","368,60",0,0,"368,60",74.20Z Activités photographiques
VERVANT,148,"50,83","111,16",0,1,"26,9",1345,"0,00","306,62",1,"10,3","306,62",74.20Z Activités photographiques
VIBRAC,288,"47,49","131,6",0,1,"26,9",1345,"0,00","286,48",1,"10,3","286,48",74.20Z Activités photographiques
VIEUX-RUFFEC,111,"38,97","108,75",0,1,"26,9",1345,"0,00","235,08",1,"10,3","235,08",74.20Z Activités photographiques
VIGNOLLES,174,"33,84","76,62",0,1,"26,9",1345,"0,00","227,57",0,0,"227,57",74.20Z Activités photographiques
VILLEBOIS LAVALETTE,736,"43,05","92,3",0,2,"73,7",3685,"0,00","793,20",0,0,"793,20",74.20Z Activités photographiques
VILLEFAGNAN,993,"59,61","116,46",0,2,"73,7",3685,"0,00","1098,31",0,0,"1098,31",74.20Z Activités photographiques
VILLEJOUBERT,339,"53,37","158,96",0,1,"26,9",1345,"0,00","358,91",0,0,"358,91",74.20Z Activités photographiques
VILLIERS-LE-ROUX,138,"51,58","101,76",0,1,"26,9",1345,"0,00","311,15",1,"10,3","311,15",74.20Z Activités photographiques
VILLOGNON,316,"52,1","111,06",0,1,"26,9",1345,"0,00","314,28",1,"10,3","314,28",74.20Z Activités photographiques
VINDELLE,1119,"45,15","106,48",0,2,"73,7",3685,"0,00","831,89",0,0,"831,89",74.20Z Activités photographiques
VITRAC-SAINT-VINCENT,514,"46,97","128,07",0,1,"26,9",1345,"0,00","283,34",1,"10,3","283,34",74.20Z Activités photographiques
VOEUIL-ET-GIGET,1575,"48,03","100,08",0,3,"97,8",4890,"0,00","1174,33",0,0,"1174,33",74.20Z Activités photographiques
VOUHARTE,330,"54,67","110,01",0,1,"26,9",1345,"0,00","367,66",0,0,"367,66",74.20Z Activités photographiques
VOULGEZAC,246,"41,12","80,2",0,1,"26,9",1345,"0,00","276,53",0,0,"276,53",74.20Z Activités photographiques
VOUTHON,417,"37,95","107,93",0,1,"26,9",1345,"0,00","255,21",0,0,"255,21",74.20Z Activités photographiques
VOUZAN,819,"46,74","103,39",0,1,"26,9",1345,"0,00","314,33",0,0,"314,33",74.20Z Activités photographiques
XAMBES,258,"54,88","134,16",0,1,"26,9",1345,"0,00","369,07",0,0,"369,07",74.20Z Activités photographiques
YVIERS,533,"39,74","92,14",0,1,"26,9",1345,"0,00","239,72",1,"10,3","239,72",74.20Z Activités photographiques
YVRAC-ET-MALLEYRAND,568,"49,15","123,76",0,1,"26,9",1345,"0,00","330,53",0,0,"330,53",74.20Z Activités photographiques
